,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
861,861,Gator City Sports Grill,1728 W University Ave,GAINESVILLE,FL,32603,29.652628999999997,-82.345552,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,25,25,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
888,888,Salty Dog Saloon,1712 W University Ave,GAINESVILLE,FL,32603,29.652309000000002,-82.345169,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,30,30,1914,973,1248,666,65%,35%,1690,22,0,152,0,4,46,609,1085,88.29676071,1.14942529,0.0,7.9414838,0.0,0.20898642,2.40334378,31.81818182,1.82,0,1794,100,40,22,961,597,0,200,3,135,0,26,1690,224,493,76,53,31,48,134,0,0,0,76,0,45,17,0,0,0,9734,9.50888192,65.96568899
1370,1370,Dirty Bar Llc,2441 NW 43rd St # 26b,GAINESVILLE,FL,32606,29.675871,-82.387271,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,8,8,1345,763,510,835,38%,62%,1177,29,9,92,0,0,38,35,1142,87.50929368,2.15613383,0.66914498,6.840148700000001,0.0,0.0,2.82527881,2.60223048,1.76,130,180,620,830,56,683,582,0,31,0,0,0,70,227,1118,55,52,24,9,50,42,0,24,12,150,40,116,34,32,35,88,52467,20.66914498,7.28624535
2225,2225,Backstage Lounge,1315 S Main St,GAINESVILLE,FL,32601,29.637067,-82.326394,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,7,7,1422,357,653,769,46%,54%,187,1235,0,0,0,0,0,0,187,13.15049226,86.84950774,0.0,0.0,0.0,0.0,0.0,0.0,3.98,416,249,543,428,42,392,283,0,0,70,0,0,39,354,1030,13,10,34,12,25,73,16,44,0,39,12,28,25,0,0,26,39297,3.44585091,20.81575246
3098,3098,Djmb of Gainesville Inc,3002 NW 30th Ter,GAINESVILLE,FL,32605,29.680484000000003,-82.367786,722410,72241005,Drinking Places Alcoholic Beverages,0,0.0,4,4,1799,702,933,866,52%,48%,1611,42,15,67,0,0,64,131,1498,89.54974986,2.33463035,0.83379655,3.72429127,0.0,0.0,3.55753196,7.28182324,2.56,304,479,566,900,47,804,676,0,17,0,0,34,77,451,1302,19,14,14,39,10,0,48,0,26,27,86,64,92,92,61,110,100400,16.39799889,3.6131184000000003
4296,4296,Mothers Pub & Grill,1017 W University Ave,GAINESVILLE,FL,32601,29.652023,-82.335526,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,33,33,975,331,755,220,77%,23%,877,67,0,13,0,0,18,174,721,89.94871795,6.87179487,0.0,1.33333333,0.0,0.0,1.84615385,17.84615385,2.8,0,975,0,0,22,480,297,25,118,0,40,0,0,927,48,44,15,52,109,14,70,14,0,0,0,0,0,13,0,0,0,21434,2.97435897,75.18878101
4432,4432,End Zone,1209 W University Ave,GAINESVILLE,FL,32601,29.651867,-82.337484,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,40,40,603,303,410,193,68%,32%,410,52,0,67,0,49,25,94,365,67.99336650000001,8.62354892,0.0,11.11111111,0.0,8.12603648,4.14593698,15.58872305,1.7,13,520,56,28,22,192,46,16,64,14,34,18,0,555,48,132,19,30,42,18,0,34,0,0,28,0,0,0,0,0,0,15089,6.96517413,66.27906977
6359,6359,Arts of Billiard,2032 SW 43rd Ave,GAINESVILLE,FL,32608,29.612453000000002,-82.35013599999999,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,4,4,2175,867,1144,1031,53%,47%,1984,145,8,26,0,0,12,254,1756,91.2183908,6.66666667,0.36781609,1.1954023,0.0,0.0,0.55172414,11.67816092,2.37,227,661,534,1506,51,842,688,0,47,62,0,0,45,573,1583,81,42,70,38,23,29,10,42,18,45,80,134,75,84,41,55,68750,15.54022989,27.78574845
8783,8783,Munegin's On 13th,4005 NW 13th St,GAINESVILLE,FL,32609,29.689688,-82.338635,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,7,7,760,397,363,397,48%,52%,540,159,8,0,0,47,6,0,540,71.05263158,20.92105263,1.05263158,0.0,0.0,6.18421053,0.78947368,0.0,1.84,58,246,317,278,47,318,297,0,0,9,0,0,12,107,653,80,49,34,46,68,0,14,9,30,0,0,19,0,0,41,7,24429,10.26315789,32.36842105
8816,8816,Wild Angels-Spikes,4130 NW 6th St,GAINESVILLE,FL,32609,29.690807,-82.332389,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,5,5,760,397,363,397,48%,52%,540,159,8,0,0,47,6,0,540,71.05263158,20.92105263,1.05263158,0.0,0.0,6.18421053,0.78947368,0.0,1.84,58,246,317,278,47,318,297,0,0,9,0,0,12,107,653,80,49,34,46,68,0,14,9,30,0,0,19,0,0,41,7,24429,10.26315789,32.36842105
10617,10617,Ball Corp,2121 NW 67th Pl,GAINESVILLE,FL,32653,29.715225,-82.35176700000001,722410,72241001,Drinking Places Alcoholic Beverages,0,0.0,4,4,645,275,233,412,36%,64%,595,50,0,0,0,0,0,0,595,92.24806202,7.75193798,0.0,0.0,0.0,0.0,0.0,0.0,2.35,61,175,312,194,47,335,335,0,0,0,0,0,0,79,549,19,15,0,33,23,33,10,0,0,37,52,36,17,0,0,0,54375,10.23255814,10.3875969
