,FID,COMPANY_NAME,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,NAICS2,NAICS CODE,Industry Description,INDU_EMP,SERV_EMP,COMM_EMP,ESTEMP,TOTALPOP,HOUSEHOLDS,MALE,FEMALE,%Male,%FEMALE,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,WHITE_NH,%WHITE,%BLACK,%INDIAN,%ASIAN,PCT_HAWN,%OTHER,%MULTI,%HISP,AVERAGE_HOUSEHOLD_SIZE,AGE_BELOW_18,AGE_18_40,AGE_40_65,AGE_65+,AGE_MEDIAN,TRAN_TOTAL,TRAN_CAR,TRAN_MOTO,TRAN_BIKE,TRAN_PUB,TRAN_WALK,TRAN_OTHER,TRAN_HOME,CURRENTLY_STUDENT,CURRENTLY_NOT_STUDENT,LESS_$10K,I10K_14K,I15K_19K,I20K_24K,I25K_29K,I30K_34K,I35K_39K,I40K_44K,I45K_49K,I50K_59K,I60K_74K,I75K_99K,I100K_124K,I125K_149K,I150K_199K,I200KMORE,MEDIAN_HOUSEHOLD_INCOME,%_BACHELOR_DEGREE,%POVERTY
7339,7339,Publix Super Market,5801 SW 75th St,GAINESVILLE,FL,32608,29.60148,-82.422077,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,262,262,3176,1396,1239,1937,39%,61%,2032,986,17,81,0,0,60,528,1504,63.97984887,31.04534005,0.53526448,2.55037783,0.0,0.0,1.88916877,16.62468514,2.21,967,1206,749,508,30,1516,1350,29,0,98,31,0,8,847,2098,171,142,106,57,68,66,170,85,162,59,111,116,21,14,12,36,38423,7.80856423,27.45033113
8123,8123,D & C Foods Inc,1515 SW Archer Rd,GAINESVILLE,FL,32608,29.639449,-82.342199,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,25,25,1313,20,454,859,35%,65%,1025,96,4,104,0,31,53,218,845,78.06549886,7.31150038,0.30464585,7.92079208,0.0,2.36100533,4.0365575,16.60319878,1.35,30,1244,31,16,19,210,53,0,39,14,87,0,17,1270,43,4,4,0,0,0,9,0,0,0,0,3,0,0,0,0,0,33056,0.53313024,29.62962963
8544,8544,India Spice,2107 NW 13th St,GAINESVILLE,FL,32609,29.672417,-82.338876,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,1,1,1555,836,829,726,53%,47%,882,599,19,24,0,0,31,26,882,56.72025723,38.52090032,1.22186495,1.54340836,0.0,0.0,1.99356913,1.67202572,1.86,262,711,482,200,28,822,678,15,87,12,18,0,12,488,1052,171,104,89,40,86,57,17,15,35,128,15,34,31,14,0,0,25700,13.63344051,34.01929260000001
8610,8610,Ward's Super Market,515 NW 23rd Ave,GAINESVILLE,FL,32609,29.673343,-82.329197,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,100,100,1555,836,829,726,53%,47%,882,599,19,24,0,0,31,26,882,56.72025723,38.52090032,1.22186495,1.54340836,0.0,0.0,1.99356913,1.67202572,1.86,262,711,482,200,28,822,678,15,87,12,18,0,12,488,1052,171,104,89,40,86,57,17,15,35,128,15,34,31,14,0,0,25700,13.63344051,34.01929260000001
8721,8721,Winn-Dixie,2500 N Main St,GAINESVILLE,FL,32609,29.67537,-82.32077,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,98,98,335,144,119,216,36%,64%,236,99,0,0,0,0,0,6,230,70.44776119,29.55223881,0.0,0.0,0.0,0.0,0.0,1.79104478,2.33,88,117,90,80,28,163,137,0,20,6,0,0,0,47,266,30,0,16,26,9,0,26,0,0,8,15,8,6,0,0,0,25000,4.17910448,48.95522388
8842,8842,JHULERS PLACE,3921 SW 34TH ST # 211,GAINESVILLE,FL,32608,29.617589000000002,-82.370552,445110,44511005,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,0,0.0,3,3,1420,715,684,736,48%,52%,833,404,0,131,0,0,52,79,754,58.66197183,28.45070423,0.0,9.22535211,0.0,0.0,3.66197183,5.56338028,1.79,30,895,427,136,29,774,602,0,0,50,120,0,2,488,914,130,182,51,21,103,48,53,30,9,13,42,0,20,0,13,0,18942,9.92957746,38.6676876
8901,8901,Publix Super Market,3720 NW 13th St # 9,GAINESVILLE,FL,32609,29.686626,-82.339479,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,191,191,1846,838,909,937,49%,51%,1599,103,10,98,0,19,17,159,1452,86.61971831,5.57963164,0.54171181,5.30877573,0.0,1.02925244,0.92091008,8.61321777,2.17,346,631,671,396,38,990,825,0,18,40,46,26,35,454,1306,74,66,59,48,12,36,58,19,84,85,84,74,73,22,33,11,48532,11.21343445,28.38569881
9389,9389,Sweetbay Supermarket,2002 SW 34th St,GAINESVILLE,FL,32608,29.633589,-82.374089,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,80,80,1053,568,343,710,33%,67%,841,71,0,58,0,29,54,225,687,79.86704653,6.74264008,0.0,5.50807217,0.0,2.75403609,5.12820513,21.36752137,1.85,17,820,187,58,22,374,218,0,14,37,48,30,27,690,352,179,104,59,66,15,15,98,0,27,5,0,0,0,0,0,0,17542,6.83760684,55.55555556
9507,9507,Publix Super Market,3100 SW 35th Blvd,GAINESVILLE,FL,32608,29.624290000000002,-82.378618,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,220,220,699,386,410,289,59%,41%,424,2,0,140,0,0,133,87,348,60.65808298,0.28612303,0.0,20.028612300000002,0.0,0.0,19.02718169,12.44635193,1.8,17,552,130,0,26,414,201,0,0,34,111,27,41,268,414,54,67,0,21,18,130,0,21,12,19,0,14,30,0,0,0,31231,6.15164521,36.33762518
9508,9508,Publix Super Market,3930 SW Archer Rd,GAINESVILLE,FL,32608,29.619121999999997,-82.382915,445110,44511003,Supermarkets/Other Grocery (Exc Convenience) Strs,0,0.0,100,100,699,386,410,289,59%,41%,424,2,0,140,0,0,133,87,348,60.65808298,0.28612303,0.0,20.028612300000002,0.0,0.0,19.02718169,12.44635193,1.8,17,552,130,0,26,414,201,0,0,34,111,27,41,268,414,54,67,0,21,18,130,0,21,12,19,0,14,30,0,0,0,31231,6.15164521,36.33762518
