ogc_fid,total_businesses,total_apartments,number_of_crimes,total_pop,households,male,female,white,black,ameri_es,asian,hawn_pi,other,multi_race,hispanic,age_below_18,age_18_40,age_40_65,age_65,age_median,tran_total,tran_car,tran_moto,tran_bike,tran_pub,tran_walk,tran_other,tran_home,student,less_10k,10k_14k,15k_19k,20k_24k,25k_29k,30k_34k,35k_39k,40k_44k,45k_49k,50k_59k,60k_74k,75k_99k,100k_124k,125k_149k,150k_199k,120k_more
43,1,18,2725,2189,926,1191,998,1714,237,2,91,0,41,104,700,79,1661,344,210,24,1080,753,76,72,81,57,0,41,1225,251,13,78,117,41,63,148,38,27,130,0,20,0,0,0,0
44,1,0,276,2175,867,1144,1031,1984,145,8,26,0,0,12,254,227,661,534,1506,51,842,688,0,47,62,0,0,45,573,81,42,70,38,23,29,10,42,18,45,80,134,75,84,41,55
45,9,1,1137,1606,504,973,633,1191,336,0,13,16,0,50,99,164,984,341,234,24,992,727,152,36,14,28,5,30,859,50,26,81,32,60,7,5,56,6,22,59,60,28,9,0,3
46,1,0,200,1655,579,787,868,770,686,0,51,0,23,125,164,668,603,327,114,24,584,460,0,0,19,105,0,0,603,140,105,113,13,12,47,39,36,17,0,37,0,20,0,0,0
47,1,5,1489,2105,1026,1141,964,1533,278,0,227,21,9,37,243,47,1610,368,160,26,897,498,10,109,132,96,13,39,1169,345,72,59,39,90,38,62,34,76,67,64,54,2,0,0,24
48,0,2,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,1,1440,824,389,470,354,257,168,0,353,0,37,9,63,64,576,154,60,26,503,239,8,19,189,48,0,0,312,78,12,37,19,33,32,10,45,0,16,78,16,4,0,0,9
50,0,4,809,1896,913,889,1007,1147,221,0,363,0,63,102,193,73,1593,171,118,27,1080,786,0,67,162,50,0,15,1077,159,30,207,100,52,50,31,40,40,62,73,40,8,0,10,11
51,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,338,1799,702,933,866,1611,42,15,67,0,0,64,131,304,479,566,900,47,804,676,0,17,0,0,34,77,451,19,14,14,39,10,0,48,0,26,27,86,64,92,92,61,110
55,2,1,650,1834,902,805,1029,1411,259,18,116,0,20,10,67,204,800,598,464,33,1238,1132,0,33,18,0,11,44,552,80,12,106,15,51,64,0,41,84,135,36,71,73,31,20,83
